k,silhouette,calinski_harabasz,davies_bouldin
2,0.1631483868194663,163.570722757591,2.0383785795488047
3,0.03980937669533116,224.71326051882616,2.3712154697010335
4,0.21461788870385753,1173.0231706475208,2.9408840455935374
5,-0.0862176274948433,134.03610971789118,6.960477573030252
6,-0.004976644882250609,286.0569068593852,3.7465833403880247
7,0.04360583755384818,430.40180862614744,3.961920049158874
8,0.022914198922035185,390.4579671888177,4.92278065913797
9,-0.03681001502751692,198.20176819585353,4.745534270137759
10,-0.18096805863597643,89.86978689295505,5.072128420522195
11,-0.10868437321504279,72.75910099310863,7.430950125667208
12,-0.0865724077831241,313.1631508845935,4.63377506171286
13,-0.23115754351826512,19.18413481999171,9.313110621409614
14,-0.07970724687465545,286.12172878951895,4.651841361628834
15,-0.2479605467580637,53.586440646400156,6.733747590718972
16,-0.10012907531659726,190.34156006831398,6.571510305144709
17,-0.07827936760154622,217.33176704581356,4.613892247500027
18,-0.08223771985840131,192.2452697375684,4.742100270651301
19,-0.13249350055497264,140.12863579159074,4.635269015392438
20,-0.14168722906127504,133.86954810510582,4.9840374376819385
21,-0.0781691470939209,269.1977838595367,3.4086423352816864
22,-0.12122210244073196,222.68543006906103,3.7231989511922277
23,-0.11027390218379413,209.36049342439648,4.455017145093324
24,-0.1625556049955466,151.2646501454494,4.33158497613347
25,-0.1794163743196147,81.76181585735684,6.344731268930425
26,-0.08506770308184601,218.34141940637448,3.5686318882395596
27,-0.09464326986867516,190.3357160643474,3.610494873658841
28,-0.12416770929111452,161.92509516967297,3.905191574441316
29,-0.09100502926443392,205.88447662154124,4.170843763633086
30,-0.10123433988032718,227.12133557959655,3.5384327256449994
31,-0.15331780197243108,110.58000594194638,4.449756951022658
32,-0.1581875525632015,90.65652367411161,4.5088084810848
33,-0.08670285615353375,217.07271718528423,3.4083654399458605
34,-0.13976891466794156,123.20458304519346,4.631162800008317
35,-0.090334427585192,203.08590157816394,3.4319519098386224
36,-0.12180774897840428,149.36255051796692,4.047615961409703
37,-0.11992803806521667,131.86614251256546,4.067898476191164
38,-0.10031191591198417,134.01813637147612,4.451607505522439
39,-0.09503922043967385,148.50558043603186,4.592973220922485
40,-0.16905888707273542,110.48297601222497,4.519008620904628
41,-0.2061251686680312,67.9873048804574,5.272954073796852
42,-0.09908021279281944,181.16801904358405,3.75141365426227
43,-0.08964825455501654,161.76705790816595,4.055481075737212
44,-0.08875401437072451,183.12100834512862,4.037729094077944
45,-0.09480986048646048,159.13286204622486,4.064966502837216
46,-0.10995460383744654,119.39948311424354,4.112926016856198
47,-0.1274748431506583,89.28040618473038,3.892668648573641
48,-0.14145624740632706,137.95743420455838,4.014951563387028
49,-0.10683630947396507,143.79222449111268,4.613068709789088
50,-0.08504814268733242,158.51760510779505,3.408858817519796
51,-0.1322636212845634,115.26695185702702,3.7061704189472984
52,-0.008199629012369291,184.8585163481675,3.2246474464039054
53,-0.11735746891218153,115.77193844622722,4.202958963188808
54,-0.04986458134152322,194.94459106093754,3.3812328212928144
55,-0.03830461924217025,153.64386485977496,3.4026043996848285
56,-0.12296138891812322,109.66851785586906,4.256984352441375
57,-0.06949193302228591,165.85570451935004,4.019762890091301
58,-0.10266486970742776,141.68347398009445,3.624152760184785
59,-0.11388923008915378,143.757646405578,3.0592549507887483
60,-0.08174611961733176,138.25567922289693,3.555340915435533
